driver,lap_number,lap_time,sector_1,sector_2,sector_3,compound,tyre_life,stint,track_status,is_pit_out_lap,is_pit_in_lap,position,year,race
VER,1.0,99.019,,42.414,23.842,SOFT,4.0,1.0,12,False,False,1.0,2023,Bahrain
VER,2.0,97.974,31.342,42.504,24.128,SOFT,5.0,1.0,12,False,False,1.0,2023,Bahrain
VER,3.0,98.006,31.388,42.469,24.149,SOFT,6.0,1.0,1,False,False,1.0,2023,Bahrain
VER,4.0,97.976,31.271,42.642,24.063,SOFT,7.0,1.0,1,False,False,1.0,2023,Bahrain
VER,5.0,98.035,31.244,42.724,24.067,SOFT,8.0,1.0,1,False,False,1.0,2023,Bahrain
VER,6.0,97.986,31.341,42.632,24.013,SOFT,9.0,1.0,1,False,False,1.0,2023,Bahrain
VER,7.0,98.021,31.29,42.763,23.968,SOFT,10.0,1.0,1,False,False,1.0,2023,Bahrain
VER,8.0,98.154,31.291,42.833,24.03,SOFT,11.0,1.0,1,False,False,1.0,2023,Bahrain
VER,9.0,98.278,31.336,42.823,24.119,SOFT,12.0,1.0,1,False,False,1.0,2023,Bahrain
VER,10.0,98.369,31.361,42.884,24.124,SOFT,13.0,1.0,1,False,False,1.0,2023,Bahrain
VER,11.0,98.483,31.342,42.978,24.163,SOFT,14.0,1.0,1,False,False,1.0,2023,Bahrain
VER,12.0,98.591,31.408,42.951,24.232,SOFT,15.0,1.0,1,False,False,1.0,2023,Bahrain
VER,13.0,98.482,31.389,42.907,24.186,SOFT,16.0,1.0,1,False,False,1.0,2023,Bahrain
VER,14.0,101.295,31.427,42.876,26.992,SOFT,17.0,1.0,1,False,True,1.0,2023,Bahrain
VER,15.0,118.378,51.854,42.629,23.895,SOFT,1.0,2.0,1,True,False,2.0,2023,Bahrain
VER,16.0,97.801,31.209,42.711,23.881,SOFT,2.0,2.0,1,False,False,2.0,2023,Bahrain
VER,17.0,97.648,31.17,42.623,23.855,SOFT,3.0,2.0,1,False,False,2.0,2023,Bahrain
VER,18.0,97.614,31.211,42.569,23.834,SOFT,4.0,2.0,1,False,False,1.0,2023,Bahrain
VER,19.0,97.712,31.243,42.608,23.861,SOFT,5.0,2.0,1,False,False,1.0,2023,Bahrain
VER,20.0,97.788,31.186,42.766,23.836,SOFT,6.0,2.0,1,False,False,1.0,2023,Bahrain
VER,21.0,97.582,31.168,42.572,23.842,SOFT,7.0,2.0,1,False,False,1.0,2023,Bahrain
VER,22.0,97.651,31.224,42.548,23.879,SOFT,8.0,2.0,1,False,False,1.0,2023,Bahrain
VER,23.0,97.552,31.153,42.514,23.885,SOFT,9.0,2.0,1,False,False,1.0,2023,Bahrain
VER,24.0,97.387,31.145,42.398,23.844,SOFT,10.0,2.0,1,False,False,1.0,2023,Bahrain
VER,25.0,97.372,31.145,42.344,23.883,SOFT,11.0,2.0,1,False,False,1.0,2023,Bahrain
VER,26.0,97.682,31.213,42.533,23.936,SOFT,12.0,2.0,1,False,False,1.0,2023,Bahrain
VER,27.0,97.379,31.079,42.349,23.951,SOFT,13.0,2.0,1,False,False,1.0,2023,Bahrain
VER,28.0,97.651,31.112,42.554,23.985,SOFT,14.0,2.0,1,False,False,1.0,2023,Bahrain
VER,29.0,97.571,31.045,42.533,23.993,SOFT,15.0,2.0,1,False,False,1.0,2023,Bahrain
VER,30.0,97.549,31.185,42.443,23.921,SOFT,16.0,2.0,1,False,False,1.0,2023,Bahrain
VER,31.0,97.431,31.04,42.464,23.927,SOFT,17.0,2.0,1,False,False,1.0,2023,Bahrain
VER,32.0,97.691,31.139,42.523,24.029,SOFT,18.0,2.0,1,False,False,1.0,2023,Bahrain
VER,33.0,97.686,31.112,42.505,24.069,SOFT,19.0,2.0,1,False,False,1.0,2023,Bahrain
VER,34.0,97.839,31.129,42.615,24.095,SOFT,20.0,2.0,1,False,False,1.0,2023,Bahrain
VER,35.0,97.85,31.211,42.5,24.139,SOFT,21.0,2.0,1,False,False,1.0,2023,Bahrain
VER,36.0,100.964,31.35,42.582,27.032,SOFT,22.0,2.0,1,False,True,1.0,2023,Bahrain
VER,37.0,118.49,52.755,42.071,23.664,HARD,1.0,3.0,1,True,False,1.0,2023,Bahrain
VER,38.0,96.297,31.034,41.772,23.491,HARD,2.0,3.0,1,False,False,1.0,2023,Bahrain
VER,39.0,96.446,30.818,42.125,23.503,HARD,3.0,3.0,1,False,False,1.0,2023,Bahrain
VER,40.0,96.942,31.175,42.247,23.52,HARD,4.0,3.0,1,False,False,1.0,2023,Bahrain
VER,41.0,120.495,31.381,55.533,33.581,HARD,5.0,3.0,126,False,False,1.0,2023,Bahrain
VER,42.0,104.824,38.946,42.174,23.704,HARD,6.0,3.0,671,False,False,1.0,2023,Bahrain
VER,43.0,96.89,31.13,42.295,23.465,HARD,7.0,3.0,1,False,False,1.0,2023,Bahrain
VER,44.0,96.236,30.783,42.005,23.448,HARD,8.0,3.0,1,False,False,1.0,2023,Bahrain
VER,45.0,97.015,31.079,42.221,23.715,HARD,9.0,3.0,1,False,False,1.0,2023,Bahrain
VER,46.0,96.701,31.03,42.003,23.668,HARD,10.0,3.0,1,False,False,1.0,2023,Bahrain
VER,47.0,97.009,31.094,42.205,23.71,HARD,11.0,3.0,1,False,False,1.0,2023,Bahrain
VER,48.0,96.918,31.01,42.199,23.709,HARD,12.0,3.0,1,False,False,1.0,2023,Bahrain
VER,49.0,96.962,31.124,42.026,23.812,HARD,13.0,3.0,1,False,False,1.0,2023,Bahrain
VER,50.0,97.25,31.07,42.375,23.805,HARD,14.0,3.0,1,False,False,1.0,2023,Bahrain
VER,51.0,97.427,31.154,42.202,24.071,HARD,15.0,3.0,1,False,False,1.0,2023,Bahrain
VER,52.0,96.919,31.033,42.133,23.753,HARD,16.0,3.0,1,False,False,1.0,2023,Bahrain
VER,53.0,96.89,30.906,42.217,23.767,HARD,17.0,3.0,1,False,False,1.0,2023,Bahrain
